tract2010,town,totalMathAvgScaleScoreZ-CSDE2013,totalReadAvgScaleScoreZ-CSDE2013,collegeZ-ACS0812,publicassistZ-ACS0812,povertyZ-ACS0812,unemploymentZ-ACS0812,owneroccupiedZ-ACS0812,vacancyZ-ACS0812,employment_access_index-LAIv2,job_diversity_index-LAIv2,jobchangeZ-ACS0812,crimeZ-UCR2010,index2014,level2014
305,Darien,1.091467136,1.294802217,1.366159107,0.756068108,0.525797034,0.79798486,0.848585212,0.383576886,0.361482412,-1.101479679,1.172788388,1.114668808,0.717658374,Very High
351,New Canaan,2.035391312,2.121339765,1.394564344,0.599339157,0.513452542,0.385133351,-0.01914332,0.199158624,-0.165919798,-0.622516815,-0.097389229,1.117768948,0.621764907,Very High
352,New Canaan,2.035391312,2.121339765,1.867544286,0.825393556,0.760890694,1.575186659,0.764109809,-0.000416928,-0.47983563,-0.643335886,-0.097389229,1.117768948,0.820553946,Very High
353,New Canaan,2.035391312,2.121339765,1.594411893,0.825393556,0.662127953,0.935150569,0.958416855,0.280586742,-0.192569878,-0.8300765,-0.097389229,1.117768948,0.784212665,Very High
354,New Canaan,2.035391312,2.121339765,1.740935646,0.652996079,0.8089856,-0.129741047,1.064132874,0.475822807,-0.376587741,-0.680383836,-0.097389229,1.117768948,0.727772598,Very High
425,Norwalk,0.206538221,-0.198475618,0.762583299,0.768329649,0.7844009,0.349532516,0.563029006,1.003744672,0.180173876,-1.523348579,0.065496115,-0.047620677,0.242865282,High
426,Norwalk,0.206538221,-0.198475618,0.559674259,0.444440801,0.53107571,0.634814827,0.656817729,0.538720821,0.309962916,-1.21097644,0.065496115,-0.047620677,0.207539055,Moderate
427,Norwalk,0.206538221,-0.198475618,0.588452269,0.50827362,0.420742764,0.823565624,0.3825271,0.561648502,0.363797639,-1.63220685,0.065496115,-0.047620677,0.170228226,Moderate
428,Norwalk,0.206538221,-0.198475618,0.632282462,0.451222902,0.856891668,0.850344021,0.499979431,0.777684391,0.54439849,-1.209780902,0.065496115,-0.047620677,0.285746709,High
429,Norwalk,0.206538221,-0.198475618,1.387737115,0.627773327,0.67477535,0.896382482,1.015894031,0.898758478,0.055115387,-1.452204545,0.065496115,-0.047620677,0.344180805,High
430,Norwalk,0.206538221,-0.198475618,1.020545152,0.676226695,0.624174648,0.3694214,0.866272131,-0.345383472,0.14627078,-1.256738356,0.065496115,-0.047620677,0.177227252,Moderate
431,Norwalk,0.206538221,-0.198475618,0.979228531,0.704963183,0.878626773,0.474524682,0.85234356,0.895614464,0.206491546,-0.978537277,0.065496115,-0.047620677,0.336599459,High
432,Norwalk,0.206538221,-0.198475618,-0.104763463,0.140879732,-0.089268945,-0.078705892,-0.153794544,1.102766097,0.435596798,-0.871924955,0.065496115,-0.047620677,0.033893572,Moderate
433,Norwalk,0.206538221,-0.198475618,0.347435144,0.739283049,0.365721545,0.605118244,0.441739157,0.732527094,0.476451073,-0.99467116,0.065496115,-0.047620677,0.228295182,Moderate
434,Norwalk,0.206538221,-0.198475618,-0.475271784,-0.018825241,-0.507705306,0.597156061,-1.060879235,0.115946553,0.576452355,-1.082790557,0.065496115,-0.047620677,-0.152498259,Low
435,Norwalk,0.206538221,-0.198475618,0.666241026,0.625275318,0.605126788,1.315150711,0.751021499,0.96430537,0.466460429,-1.007733899,0.065496115,-0.047620677,0.367648774,High
436,Norwalk,0.206538221,-0.198475618,0.626449196,0.552796881,0.918393244,0.1233571,0.389458314,0.517269476,0.657727427,-0.894474591,0.065496115,-0.047620677,0.243076257,High
437,Norwalk,0.206538221,-0.198475618,-0.79988899,-0.335878649,-0.850959795,-0.22043537,-1.816792469,-0.16797544,0.761946325,-0.747044941,0.065496115,-0.047620677,-0.345924274,Low
438,Norwalk,0.206538221,-0.198475618,-0.02224988,0.198292502,-0.060770773,0.419011493,-0.261233757,0.442064643,0.720044774,-0.730492283,0.065496115,-0.047620677,0.06088373,Moderate
439,Norwalk,0.206538221,-0.198475618,0.464198567,0.638087316,0.729349653,0.92065243,0.791502093,0.251295105,0.34205439,-0.907600519,0.065496115,-0.047620677,0.271289756,High
440,Norwalk,0.206538221,-0.198475618,-0.52105875,0.217127736,-1.184888731,-0.029687962,-1.095499403,0.536968263,0.641268573,-0.727718422,0.065496115,-0.047620677,-0.178129221,Low
441,Norwalk,0.206538221,-0.198475618,-0.835617488,-0.472260964,-0.655572306,-1.45592277,-1.546735155,-0.304066005,0.573728712,-0.65597481,0.065496115,-0.047620677,-0.443873562,Very Low
442,Norwalk,0.206538221,-0.198475618,0.00882248,0.570957511,0.292040785,0.540227706,-0.804451412,-0.321401377,0.576706611,-0.593332029,0.065496115,-0.047620677,0.024625693,Moderate
443,Norwalk,0.206538221,-0.198475618,0.607290726,0.71224179,0.473868717,0.905152749,0.309544314,0.127459965,0.253221574,-0.769525538,0.065496115,-0.047620677,0.220432695,Moderate
444,Norwalk,0.206538221,-0.198475618,-0.33944582,-0.397849448,-0.634872799,-1.486153349,-0.799047492,0.207790812,-0.039767909,-0.87838855,0.065496115,-0.047620677,-0.361816376,Low
445,Norwalk,0.206538221,-0.198475618,-1.476579211,-1.355119057,-1.260816064,-1.232325557,-1.238153414,0.001253014,0.242541301,-0.878541539,0.065496115,-0.047620677,-0.597650207,Very Low
446,Norwalk,0.206538221,-0.198475618,1.609143934,0.732811239,0.755348129,0.784035734,1.030105153,0.264449334,-0.092399045,-1.026043718,0.065496115,-0.047620677,0.3402824,High
451.01,Wilton,1.223071949,1.663988989,1.59603429,0.782183795,0.854979943,0.145281985,1.000564986,0.331679689,-0.541823948,-0.659401912,0.028962505,1.216900045,0.636868526,Very High
451.02,Wilton,1.223071949,1.663988989,1.644951389,0.747956499,0.750199803,0.780450199,0.83378094,0.298187497,-0.477870411,-0.861844752,0.028962505,1.216900045,0.654061221,Very High
452,Wilton,1.223071949,1.663988989,1.575779776,0.681178793,0.749077163,0.90506063,0.625174933,0.468320692,-0.301032606,-1.048504518,0.028962505,1.216900045,0.648998196,Very High
453,Wilton,1.223071949,1.663988989,1.537871576,0.797708805,0.734207176,0.126245682,1.088281516,0.880806153,-0.139286522,-1.36865097,0.028962505,1.216900045,0.649175575,Very High
454,Wilton,1.223071949,1.663988989,1.44570522,0.759793102,0.918393244,1.291762094,0.910252179,0.735269798,-0.155549511,-1.369312432,0.028962505,1.216900045,0.722436432,Very High
501,Westport,1.649653067,1.482150728,1.487881386,0.825393556,0.754982399,0.400589322,0.815628027,-0.006197534,0.003341739,-1.073417511,-1.13444374,0.599966115,0.483793963,Very High
502,Westport,1.649653067,1.482150728,1.485299495,0.550271654,0.856058313,-0.057990833,0.705380435,0.05850922,-0.049573299,-0.870195885,-1.13444374,0.599966115,0.439590439,Very High
503,Westport,1.649653067,1.482150728,1.636222363,0.6977569,0.474952263,0.531503871,0.901046277,0.345321256,-0.295871196,-0.774116103,-1.13444374,0.599966115,0.509511817,Very High
504,Westport,1.649653067,1.482150728,1.058977801,0.606907401,0.212977574,0.406762421,0.272323317,0.505031573,0.111194984,-1.072500886,-1.13444374,0.599966115,0.391583363,High
505,Westport,1.649653067,1.482150728,1.622534951,0.709552755,0.398665638,0.09674469,0.659954059,0.049404588,0.002003044,-1.148585552,-1.13444374,0.599966115,0.415633362,High
506,Westport,1.649653067,1.482150728,1.505888815,0.634015317,0.584984352,0.749481113,0.75705301,-1.217281057,-0.190012196,-1.082201147,-1.13444374,0.599966115,0.361604531,High
551,Weston,1.744953104,1.267250966,1.666734105,0.716210272,0.707799998,0.620547753,0.977491437,0.064831699,-0.625305485,-0.605375437,-0.803350667,1.130787089,0.571881236,Very High
552,Weston,1.744953104,1.267250966,1.512954916,0.789412701,0.677001776,0.219745472,0.941779072,-0.215737339,-0.542460466,-0.632941028,-0.803350667,1.130787089,0.507449633,Very High
601,Fairfield,1.363752956,1.349904721,1.263218948,0.632461108,0.859667566,0.45815587,0.973404819,0.274335345,0.055126535,0.686434503,0.553577398,0.430510151,0.741712493,Very High
602,Fairfield,1.363752956,1.349904721,1.243107679,0.54215343,0.771850404,-0.745710105,0.964914917,0.293987939,-0.08530593,0.269540512,0.553577398,0.430510151,0.579357006,Very High
603,Fairfield,1.363752956,1.349904721,1.221165053,0.76492573,0.692507825,-0.149327277,1.116459213,0.038660724,-0.325722714,-0.022674045,0.553577398,0.430510151,0.586144978,Very High
604,Fairfield,1.363752956,1.349904721,1.778842034,0.786806099,0.703200186,0.590441587,1.083209321,0.137605754,-0.47023728,-0.381723865,0.553577398,0.430510151,0.660490755,Very High
605,Fairfield,1.363752956,1.349904721,1.615987027,0.67982678,0.817861821,0.614083514,1.085992405,0.423049802,-0.215059848,-0.066789045,0.553577398,0.430510151,0.72105814,Very High
606,Fairfield,1.363752956,1.349904721,1.069543654,0.682909371,0.483454097,-0.614128454,0.620860784,-0.040383771,-0.158543652,-0.394169249,0.553577398,0.430510151,0.445607334,Very High
607,Fairfield,1.363752956,1.349904721,1.456523331,0.77167272,0.404120203,0.246228729,0.90278498,0.690412503,0.044988304,0.458890846,0.553577398,0.430510151,0.72278057,Very High
608,Fairfield,1.363752956,1.349904721,1.65749526,0.693985216,0.720032429,0.719501462,0.959931928,0.568478804,0.230561434,0.245495665,0.553577398,0.430510151,0.791102285,Very High
609,Fairfield,1.363752956,1.349904721,1.190016754,0.77872843,0.872737052,0.994821392,1.135772418,1.048585812,0.138605008,0.032683285,0.553577398,0.430510151,0.824141281,Very High
610,Fairfield,1.363752956,1.349904721,0.421831594,0.077524502,-0.096681315,-0.08075513,0.103304031,0.909218844,0.063007314,-0.174456717,0.553577398,0.430510151,0.410061529,High
611,Fairfield,1.363752956,1.349904721,1.478206023,0.530207196,0.745110715,0.048895494,0.823088137,0.426635344,0.208107898,0.309124267,0.553577398,0.430510151,0.688926692,Very High
612,Fairfield,1.363752956,1.349904721,0.796369317,0.412043531,0.632925177,0.570623387,0.112273676,1.102766097,0.314228112,-0.156036596,0.553577398,0.430510151,0.62357816,Very High
613,Fairfield,1.363752956,1.349904721,0.58239575,0.478613088,0.318398362,0.678658611,-0.192670963,0.72108214,0.276911586,-0.21211573,0.553577398,0.430510151,0.529084839,Very High
614,Fairfield,1.363752956,1.349904721,0.43950172,0.266245092,-0.278701148,0.251674644,-0.151779908,-0.232757812,0.29356973,-0.113498582,0.553577398,0.430510151,0.34766658,High
615,Fairfield,1.363752956,1.349904721,1.365006847,0.544285181,0.657319415,0.545729221,0.42651284,0.041930142,0.070555197,0.320247738,0.553577398,0.430510151,0.639110984,Very High
616,Fairfield,1.363752956,1.349904721,1.472629591,0.779270687,0.618481175,-0.004077085,0.541362859,-0.502897774,-0.116989266,0.020695213,0.553577398,0.430510151,0.542185052,Very High
701,Bridgeport,-1.812914943,-1.774407209,0.526822401,0.362319954,0.263196452,0.391084208,-1.002433408,-0.257171107,0.165061235,-0.096136588,-0.286137766,-1.032792511,-0.379459107,Low
702,Bridgeport,-1.812914943,-1.774407209,-0.656545306,-1.018784662,-1.241479833,-0.21250201,-1.302836826,-0.974144802,0.330543626,-0.150611383,-0.286137766,-1.032792511,-0.844384469,Very Low
703,Bridgeport,-1.812914943,-1.774407209,-2.819901679,-4.857011444,-4.035412288,-5.145399673,-2.610589973,-0.968991177,0.495141018,0.216525545,-0.286137766,-1.032792511,-2.052657675,Very Low
